8152,FC St. Pauli,STP,FC St. Pauli,FC St. Pauli,St. Pauli,St. Pauli,St. Pauli,,St.Pauli,ST PAULI,St. Pauli
8406,FC Augsburg,AUG,FC Augsburg,FC Augsburg,Augsburg,Augsburg,Augsburg,Augsburg,Augsburg,AUGSBURG,Augsburg
8194,Fortuna Düsseldorf,FDU,Fortuna Düsseldorf,Fortuna Dusseldorf,Fortuna Dusseldorf,Fortuna Dusseldorf,Fortuna Dusseldorf,,Dusseldorf,FOR. DUSSELDORF,Dusseldorf
8357,SpVgg Greuther Fürth,GRF,Greuther Furth,SpVgg Greuther Furth,Greuther Furth,Greuther Fuerth,Greuther Furth,,Greuth Furth,GREUTHER FURTH,Greuther Furth
9776,Eintracht Braunschweig,BRA,Eintracht Braunschweig,Eintracht Braunschweig,Eintracht Braunschweig,Eintracht Braunschweig,Eintracht Braunschweig,Braunschweiger,Braunschweig,BRAUNSCHWEIG,Braunschweig
8460,SC Paderborn 07,PAD,SC Paderborn 07,SC Paderborn 07,Paderborn,Paderborn,SC Paderborn 07,Paderborn,Paderborn,PADERBORN,Paderborn
8234,FC Ingolstadt 04,ING,FC Ingolstadt,FC Ingolstadt 04,Ingolstadt,Ingolstadt,Ingolstadt,Ingolstadt,Ingolstadt,INGOLSTADT 07,Ingolstadt
8262,SV Darmstadt 98,DAR,SV Darmstadt 98,SV Darmstadt 98,Darmstadt 98,Darmstadt,SV Darmstadt 98,Darmstadt,Darmstadt 98,DARMSTADT,Darmstadt
8524,Atalanta,ATA,Atalanta Bergamasca Calcio,Atalanta,Atalanta,Atalanta,Atalanta,Atalanta,Atalanta,ATALANTA,Atalanta
8551,Siena,SIE,Robur Siena,Robur Siena,Robur Siena,Robur Siena,Siena,,Siena,,Siena
8529,Cagliari,CAG,Cagliari Calcio,Cagliari,Cagliari,Cagliari,Cagliari,Cagliari,Cagliari,CAGLIARI,Cagliari
8543,Lazio,LAZ,SS Lazio Roma,Lazio,Lazio,Lazio,Lazio,Lazio,Lazio,LAZIO,Lazio
8530,Catania,CAT,Calcio Catania,Catania,Catania,Catania,Catania,Catania,Catania,CATANIA,Catania
10233,Genoa,GEN,Genoa FC,Genoa,Genoa,Genoa,Genoa,Genoa,Genoa,GENOA,Genoa
8533,Chievo Verona,CHI,AC Chievo Verona,Chievo,Chievo,ChievoVerona,Chievo,Chievo,Chievo,CHIEVO,Chievo
8690,Reggio Calabria,REG,,,,,,,,,
8535,Fiorentina,FIO,ACF Fiorentina,Fiorentina,Fiorentina,Fiorentina,Fiorentina,Fiorentina,Fiorentina,FIORENTINA,Fiorentina
9885,Juventus,JUV,Juventus Turin,Juventus,Juventus,Juventus,Juventus,Juventus,Juventus,JUVENTUS,Juventus
8564,Milan,ACM,AC Milan,AC Milan,AC Milan,Milan,AC Milan,Milan,Milan,AC MILAN,AC Milan
9857,Bologna,BOL,Bologna FC,Bologna,Bologna,Bologna,Bologna,Bologna,Bologna,BOLOGNA,Bologna
8686,Roma,ROM,AS Roma,Roma,Roma,Roma,AS Roma,Roma,Roma,ROMA,AS Roma
9875,Napoli,NAP,SSC Napoli,Napoli,Napoli,SNapoli,Napoli,Napoli,Napoli,NAPOLI,Napoli
9882,Sampdoria,SAM,UC Sampdoria,Sampdoria,Sampdoria,Sampdoria,Sampdoria,Sampdoria,Sampdoria,SAMPDORIA,Sampdoria
8636,Inter,INT,Inter Milan,Inter,Inter Milan,Inter,Inter Milan,Inter,Inter,INTER MILAN,Inter
9804,Torino,TOR,AC Torino,Torino,Torino,Torino,Torino,Torino,Torino,TORINO,Torino
9888,Lecce,LEC,US Lecce,Lecce,Lecce,Lecce,Lecce,,,,Lecce
8600,Udinese,UDI,Udinese Calcio,Udinese,Udinese,Udinese,Udinese,Udinese,Udinese,UDINESE,Udinese
8540,Palermo,PAL,US Palermo,Palermo,Palermo,Palermo,Palermo,Palermo,Palermo,PALERMO,Palermo
9976,Bari,BAR,Bari,Bari,Bari,Bari,Bari,,Bari,BARI,Bari
